fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,target
7.897147769767591,0.25,0.22,3.3,0.048,51.27790412922001,161.0,0.99256,3.16,0.5506283914705502,10.5,6
9.613173106127437,0.3,0.29,16.85,0.054,28.851051528480653,135.0,0.9998,3.16,0.5264145826406046,9.0,6
9.124670437269673,0.38,0.27,7.5,0.041,29.941912186597648,160.0,0.99535,3.17,0.4080506645141988,10.0,5
8.977772225907685,0.16,0.49,1.2,0.055,22.447483019282185,150.0,0.9917,3.23,0.5056662516663746,11.2,6
9.094254522845347,0.27,0.28,15.2,0.046,7.442861983424586,41.0,0.99665,3.17,0.6199482625841071,10.9,6
8.501522702061745,0.27,0.28,13.3,0.076,62.40759171622529,163.0,0.9979,3.03,0.3795450689175522,8.6,6
10.604785113146516,0.22,0.3,8.9,0.024,20.98874509873064,118.0,0.99456,2.99,0.5112704921990018,10.5,6
10.01122620041886,0.17,0.44,14.1,0.053,53.84503696823969,145.0,1.0006,3.28,0.7311988188499184,8.8,8
8.377440733953316,0.2,0.24,6.5,0.044,35.08164450809513,100.0,0.99348,3.12,0.5575087042175753,10.2,6
8.52148265061166,0.14,0.18,1.4,0.047,37.34761240023841,90.0,0.99164,3.27,0.5479768160972454,11.2,6
8.818821750516998,0.24,0.41,17.8,0.046,48.707195393582374,145.0,0.9998,3.32,0.39986062565252417,8.7,5
10.094657220153321,0.4,0.48,13.7,0.042,73.67575931628808,169.0,0.9986,3.1,0.7180342577986325,9.4,5
9.674587133613516,0.32,0.58,16.75,0.05,53.67966561982926,163.0,0.9999,3.15,0.7020408134208049,9.2,5
8.139928334127005,0.16,0.25,1.3,0.047,24.786037934392375,77.0,0.9933,3.61,0.7644987436094808,10.2,6
7.8368067728274635,0.14,0.39,1.2,0.044,32.43705250390757,116.0,0.992,3.26,0.5346737370742426,10.3,6
8.926022764516961,0.3,0.46,1.5,0.066,36.30977204669126,133.0,0.9906,3.12,0.6463194590666461,12.7,6
8.32652093236431,0.31,0.31,9.9,0.04,12.755948803103779,175.0,0.9953,3.46,0.6257921790789562,11.4,4
8.150459639697525,0.33,0.24,16.05,0.045,38.78942330218796,147.0,0.99822,3.08,0.5389811201847576,9.2,5
7.932726150495702,0.28,0.51,7.9,0.056,61.262221916522265,206.0,0.9956,3.18,0.7095897458520366,9.4,5
8.084463111859419,0.24,0.38,12.75,0.034,9.948456433790755,74.0,0.99386,3.1,0.8068051446606794,12.9,6
8.721449630302889,0.12,0.32,7.2,0.058,27.43997461498941,89.0,0.9966,3.29,0.4413133794959466,9.2,6
8.633432382724223,0.14,0.38,1.0,0.041,27.594743982104664,81.0,0.99043,3.03,0.827271129929617,11.4,6
9.165123657868728,0.25,0.28,14.4,0.055,68.77910340012622,205.0,0.9986,3.12,0.3964299779121657,9.0,7
7.089658865423602,0.32,0.32,8.3,0.043,39.936444025972534,105.0,0.99266,3.24,0.7373467324137041,11.2,6
9.582775022543268,0.3,0.29,16.85,0.054,28.64784478053244,135.0,0.9998,3.16,0.5312239059758266,9.0,6
9.249724975896582,0.16,0.27,15.5,0.05,31.233824461360246,135.0,0.9984,2.9,0.4151432814524989,8.7,7
8.002106019836436,0.27,0.19,2.0,0.084,26.196635119615753,191.0,0.99516,3.49,0.9856524267082669,9.6,4
9.977166166470056,0.24,0.33,1.2,0.044,34.999447213767986,101.0,0.99035,3.03,0.49305224668089725,12.5,6
9.06198091075303,0.34,0.3,8.4,0.051,49.977054954616804,167.0,0.99756,3.48,0.8955117739614451,9.7,5
7.609089307224402,0.12,0.26,5.7,0.044,70.03893489132561,158.0,0.9951,3.52,0.47706491219296326,10.5,6
8.584136408746334,0.4,0.37,8.9,0.053,44.873488088607736,148.0,0.996,3.16,0.6624441224451831,9.3,5
8.547881874821307,0.51,0.3,4.2,0.066,47.60919922643577,165.0,0.9945,3.2,0.6151206780492309,9.1,5
7.067957568516064,0.23,0.25,8.0,0.043,39.02783130415524,101.0,0.99429,3.19,0.6095851184469003,10.4,6
7.26494194735092,0.23,0.31,3.5,0.044,43.86936397242823,158.0,0.98998,3.19,0.428285343687654,12.1,7
10.34616077996997,0.24,0.27,2.1,0.03,27.521863831605387,162.0,0.9914,2.99,0.9031665595938596,11.9,6
7.738005872637353,0.17,0.3,1.1,0.037,17.58817610389486,79.0,0.993,3.5,0.7206599848698503,10.3,6
8.074040712237723,0.27,0.49,7.3,0.046,66.14909146571348,206.0,0.9956,3.24,0.5588561199689245,9.2,6
7.503390078412546,0.28,0.27,4.1,0.046,62.34167057864631,147.0,0.99126,3.27,0.6796683466170271,11.6,6
7.895815245455947,0.35,0.28,12.6,0.039,23.82737004168337,124.0,0.99539,3.2,0.5586564833194247,10.6,6
8.00165024160551,0.23,0.25,17.3,0.046,18.696185833833702,110.0,0.99828,3.15,0.7217540746195861,9.2,6
7.476036257856389,0.16,0.24,1.4,0.046,21.115332190263864,77.0,0.99319,3.66,0.6829972647885841,10.3,6
7.270558081848935,0.2,0.3,2.5,0.046,47.41194087339529,125.0,0.99276,3.34,0.7456587419804209,9.9,6
9.580746183561244,0.21,0.44,1.9,0.036,12.386944769531844,119.0,0.9913,3.01,0.8130363576083536,12.8,6
7.989351211681945,0.23,0.35,10.3,0.042,67.5134428882628,140.0,0.9967,3.23,0.49936853376772555,9.2,5
9.329620751483592,0.27,0.31,5.8,0.057,163.8082122794713,313.0,0.9946,3.18,1.0651399345113,10.5,5
8.567606999203264,0.21,0.81,1.1,0.137,65.08877484595934,123.0,0.9932,3.03,0.5415024196989244,9.2,6
7.484323710758221,0.22,0.38,1.3,0.046,30.089433233010876,90.0,0.99232,3.2,0.6442513461289613,10.0,6
10.565443350817475,0.16,0.37,7.9,0.025,47.575499779724474,107.0,0.99306,2.93,0.5220227771834203,11.9,6
8.064460707607246,0.37,0.33,3.9,0.027,49.979283410989545,130.0,0.9906,3.28,0.6282299706534589,12.7,7
8.613841552065571,0.19,0.4,9.85,0.055,51.1876522605015,103.0,0.99532,2.98,0.7407810014617755,10.5,6
8.627801291535889,0.25,0.26,5.2,0.024,44.84918467104525,135.0,0.9948,3.16,0.9816221872557191,10.7,7
8.103757107008953,0.46,0.41,16.8,0.084,73.85996469757848,222.0,0.9993,3.18,0.6191431721743477,9.0,5
7.900421428282993,0.235,0.34,1.9,0.036,4.982226787872935,117.0,0.99032,3.4,0.6483923537244453,12.2,5
6.998983427925722,0.2,0.66,10.2,0.043,97.45896166913137,175.0,0.9945,2.98,0.5138239441962459,10.4,7
9.529636443925463,0.26,0.47,1.6,0.068,6.36797163447007,55.0,0.9944,3.1,0.6296742482191873,9.6,5
